,conductivity,GUID,run_order,Temp (C) 2,postdata,endpoint,output_cid,LiPF6_molalitt,EC_mass_fraction,DMC_cosolvent_ratio,sampling,expt_time,feeder_volume_valve_derate,feeder_densities,feeder_volumes
73,12.72851749,3E2A6CEBA9620343F0763ACCD49D15BE,3,27.25974026,"[('DMCEC5050', '950-19-0.9'), ('DMCEC5050LiPF61.5', '950-7-0.7')]",RUNfast_derated2,DMC_EC|50_50|LiPF6|0.71,0.71,0.5,1,BO,13,"[('DMC_EC|50_50', '950-19-0.9'), ('DMC_EC|50_50|LiPF6|1.5', '950-7-0.7')]","{'DMC_EC|50_50|LiPF6|1.5': 1.323, 'DMC_EC|50_50': 1.192}","{'DMC_EC|50_50': 950, 'DMC_EC|50_50|LiPF6|1.5': 950}"
74,9.56631622,538B3D24A07ED42535DCDABA64596A90,1,27.36415584,"[('DMCEC7030LiPF61.5', '190-1-0.7'), ('DMCEC5050LiPF61.5', '1710-7-0.7')]",RUNfast_derated2,DMC_EC|52_48|LiPF6|1.5,1.5,0.48,1,BO,13,"[('DMC_EC|70_30|LiPF6|1.5', '190-1-0.7'), ('DMC_EC|50_50|LiPF6|1.5', '1710-7-0.7')]","{'DMC_EC|70_30|LiPF6|1.5': 1.27, 'DMC_EC|50_50|LiPF6|1.5': 1.323}","{'DMC_EC|70_30|LiPF6|1.5': 190, 'DMC_EC|50_50|LiPF6|1.5': 1710}"
75,11.07758762,8BBCA1221E81786888C04D3B167184C9,2,27.30181818,"[('DMCEC7030LiPF61.5', '190-1-0.7'), ('DMCEC5050LiPF61.5', '1710-7-0.7')]",RUNfast_derated2,DMC_EC|52_48|LiPF6|1.5,1.5,0.48,1,BO,13,"[('DMC_EC|70_30|LiPF6|1.5', '190-1-0.7'), ('DMC_EC|50_50|LiPF6|1.5', '1710-7-0.7')]","{'DMC_EC|70_30|LiPF6|1.5': 1.27, 'DMC_EC|50_50|LiPF6|1.5': 1.323}","{'DMC_EC|70_30|LiPF6|1.5': 190, 'DMC_EC|50_50|LiPF6|1.5': 1710}"
76,11.18506277,A9E1C971A7196B0624E03594641D27CF,3,27.24779221,"[('DMCEC7030LiPF61.5', '190-1-0.7'), ('DMCEC5050LiPF61.5', '1710-7-0.7')]",RUNfast_derated2,DMC_EC|52_48|LiPF6|1.5,1.5,0.48,1,BO,13,"[('DMC_EC|70_30|LiPF6|1.5', '190-1-0.7'), ('DMC_EC|50_50|LiPF6|1.5', '1710-7-0.7')]","{'DMC_EC|70_30|LiPF6|1.5': 1.27, 'DMC_EC|50_50|LiPF6|1.5': 1.323}","{'DMC_EC|70_30|LiPF6|1.5': 190, 'DMC_EC|50_50|LiPF6|1.5': 1710}"
77,0.049553277,B9AD26A61B271E3FA1257E2701949E3D,1,27.24987013,"[('DMCEC7030', '190-18-0.9'), ('DMCEC5050', '760-19-0.9'), ('DMCEC5050LiPF61.5', '950-7-0.7')]",RUNfast_derated2,DMC_EC|52_48|LiPF6|0.72,0.72,0.48,1,BO,16,"[('DMC_EC|70_30', '190-18-0.9'), ('DMC_EC|50_50', '760-19-0.9'), ('DMC_EC|50_50|LiPF6|1.5', '950-7-0.7')]","{'DMC_EC|50_50|LiPF6|1.5': 1.323, 'DMC_EC|50_50': 1.192, 'DMC_EC|70_30': 1.14}","{'DMC_EC|70_30': 190, 'DMC_EC|50_50': 760, 'DMC_EC|50_50|LiPF6|1.5': 950}"
78,12.8971648,93399AC3BA8B27323FCDEAC4A52A5A1B,2,27.20675325,"[('DMCEC7030', '190-18-0.9'), ('DMCEC5050', '760-19-0.9'), ('DMCEC5050LiPF61.5', '950-7-0.7')]",RUNfast_derated2,DMC_EC|52_48|LiPF6|0.72,0.72,0.48,1,BO,16,"[('DMC_EC|70_30', '190-18-0.9'), ('DMC_EC|50_50', '760-19-0.9'), ('DMC_EC|50_50|LiPF6|1.5', '950-7-0.7')]","{'DMC_EC|50_50|LiPF6|1.5': 1.323, 'DMC_EC|50_50': 1.192, 'DMC_EC|70_30': 1.14}","{'DMC_EC|70_30': 190, 'DMC_EC|50_50': 760, 'DMC_EC|50_50|LiPF6|1.5': 950}"
79,12.87098109,52E0985A18678C47BE159C9CDDD81BEE,3,27.14337662,"[('DMCEC7030', '190-18-0.9'), ('DMCEC5050', '760-19-0.9'), ('DMCEC5050LiPF61.5', '950-7-0.7')]",RUNfast_derated2,DMC_EC|52_48|LiPF6|0.72,0.72,0.48,1,BO,16,"[('DMC_EC|70_30', '190-18-0.9'), ('DMC_EC|50_50', '760-19-0.9'), ('DMC_EC|50_50|LiPF6|1.5', '950-7-0.7')]","{'DMC_EC|50_50|LiPF6|1.5': 1.323, 'DMC_EC|50_50': 1.192, 'DMC_EC|70_30': 1.14}","{'DMC_EC|70_30': 190, 'DMC_EC|50_50': 760, 'DMC_EC|50_50|LiPF6|1.5': 950}"
80,12.23210782,22755C4636A1D937BCC23D4AA1B25955,1,26.90441558,"[('ECEMC5050', '190-16-0.9'), ('DMCEC5050', '190-19-0.9'), ('DMCEC5050LiPF61.5', '1520-7-0.7')]",RUNfast_derated2,DMC_EC_EMC|45_50_5|LiPF6|1.18,1.18,0.5,0.9,BO,16,"[('EC_EMC|50_50', '190-16-0.9'), ('DMC_EC|50_50', '190-19-0.9'), ('DMC_EC|50_50|LiPF6|1.5', '1520-7-0.7')]","{'DMC_EC|50_50|LiPF6|1.5': 1.323, 'DMC_EC|50_50': 1.192, 'EC_EMC|50_50': 1.156}","{'EC_EMC|50_50': 190, 'DMC_EC|50_50': 190, 'DMC_EC|50_50|LiPF6|1.5': 1520}"
81,12.16887369,23F70A114D442D7A9652EA7D4EA4E182,2,26.97766234,"[('ECEMC5050', '190-16-0.9'), ('DMCEC5050', '190-19-0.9'), ('DMCEC5050LiPF61.5', '1520-7-0.7')]",RUNfast_derated2,DMC_EC_EMC|45_50_5|LiPF6|1.18,1.18,0.5,0.9,BO,16,"[('EC_EMC|50_50', '190-16-0.9'), ('DMC_EC|50_50', '190-19-0.9'), ('DMC_EC|50_50|LiPF6|1.5', '1520-7-0.7')]","{'DMC_EC|50_50|LiPF6|1.5': 1.323, 'DMC_EC|50_50': 1.192, 'EC_EMC|50_50': 1.156}","{'EC_EMC|50_50': 190, 'DMC_EC|50_50': 190, 'DMC_EC|50_50|LiPF6|1.5': 1520}"
82,12.18077092,24F3145571A86728B14AE454D22D11DE,3,27.02545455,"[('ECEMC5050', '190-16-0.9'), ('DMCEC5050', '190-19-0.9'), ('DMCEC5050LiPF61.5', '1520-7-0.7')]",RUNfast_derated2,DMC_EC_EMC|45_50_5|LiPF6|1.18,1.18,0.5,0.9,BO,17,"[('EC_EMC|50_50', '190-16-0.9'), ('DMC_EC|50_50', '190-19-0.9'), ('DMC_EC|50_50|LiPF6|1.5', '1520-7-0.7')]","{'DMC_EC|50_50|LiPF6|1.5': 1.323, 'DMC_EC|50_50': 1.192, 'EC_EMC|50_50': 1.156}","{'EC_EMC|50_50': 190, 'DMC_EC|50_50': 190, 'DMC_EC|50_50|LiPF6|1.5': 1520}"
